,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,,Flag
4,2017/4/5,良,83,224,61,60,5,27,0.61,95,,0
5,2017/4/6,轻度污染,126,324,95,91,5,44,0.9,74,,1
6,2017/4/7,轻度污染,103,280,76,120,7,43,0.79,60,,1
7,2017/4/8,轻度污染,113,328,76,138,6,59,0.89,30,,1
8,2017/4/9,良,86,349,63,100,6,45,0.88,46,,0
9,2017/4/10,良,90,339,64,117,8,57,0.74,42,,0
10,2017/4/11,良,61,204,27,66,3,31,0.38,62,,0
11,2017/4/12,良,68,199,25,84,4,49,0.54,46,,0
12,2017/4/13,良,91,307,52,131,13,60,1.03,49,,0
13,2017/4/14,良,93,317,58,131,5,65,0.85,45,,0
14,2017/4/15,良,69,115,34,86,4,48,0.48,63,,0
15,2017/4/16,轻度污染,134,350,90,171,15,68,0.95,56,,1
16,2017/4/17,中度污染,180,354,125,215,7,54,0.95,57,,1
17,2017/4/18,良,65,145,22,78,2,17,0.24,81,,0
18,2017/4/19,良,83,230,41,113,6,67,0.8,20,,0
19,2017/4/20,良,72,227,37,92,2,43,0.69,46,,0
20,2017/4/21,良,55,141,16,56,2,20,0.29,74,,0
21,2017/4/22,良,85,325,41,118,7,41,0.46,68,,0
22,2017/4/23,良,60,116,22,71,3,21,0.37,86,,0
23,2017/4/23,良,60,116,22,71,3,21,0.37,86,,0
24,2017/4/24,良,70,168,33,82,4,30,0.5,73,,0
25,2017/4/25,优,39,40,11,37,2,22,0.27,59,,0
26,2017/4/26,优,43,88,13,38,2,27,0.33,64,,0
27,2017/4/27,优,45,87,14,46,2,32,0.31,62,,0
28,2017/4/28,良,58,110,21,65,2,36,0.39,67,,0
29,2017/4/29,良,75,166,38,99,2,39,0.39,69,,0
30,2017/4/30,轻度污染,106,312,48,159,4,42,0.48,77,,1
0,2017/5/1,良,82,222,40,112,7,44,0.7,71,,0
1,2017/5/2,良,95,293,57,129,9,50,0.95,105,,0
2,2017/5/3,轻度污染,104,324,72,121,8,47,0.85,79,,1
3,2017/5/4,严重污染,420,354,336,772,2,21,0.29,79,,1
4,2017/5/5,严重污染,256,312,185,438,3,21,0.31,64,,1
5,2017/5/6,良,71,128,31,90,2,32,0.36,68,,0
6,2017/5/7,良,64,113,26,75,3,40,0.4,78,,0
7,2017/5/8,良,84,255,52,109,6,52,0.56,96,,0
8,2017/5/9,良,81,280,45,97,6,25,0.51,107,,0
9,2017/5/10,良,64,135,37,68,3,29,0.46,87,,0
10,2017/5/11,良,91,271,28,130,3,30,0.32,69,,0
11,2017/5/12,轻度污染,109,303,42,166,4,23,0.39,90,,1
12,2017/5/13,良,61,142,18,71,2,15,0.25,72,,0
13,2017/5/14,优,47,52,11,37,2,15,0.28,87,,0
