,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,,Flag
18,2018/2/19,中度污染,185,348,140,75,23,44,2.18,52,,1
19,2018/2/20,良,72,230,47,19,5,21,0.72,68,,0
20,2018/2/21,良,51,147,32,41,7,26,0.66,60,,0
21,2018/2/22,优,44,108,15,44,5,27,0.51,57,,0
22,2018/2/23,优,48,112,20,48,5,30,0.63,53,,0
23,2018/2/24,良,63,203,30,77,10,22,0.73,54,,0
24,2018/2/25,良,75,222,54,66,10,42,0.88,41,,0
25,2018/2/26,中度污染,159,340,120,120,21,71,1.66,43,,1
26,2018/2/27,重度污染,219,353,169,171,12,57,2.05,38,,1
27,2018/2/28,轻度污染,133,312,92,121,9,37,1.12,66,,1
0,2018/3/1,优,48,63,14,48,3,15,0.38,75,,0
1,2018/3/2,良,99,318,73,99,17,52,1.08,41,,0
2,2018/3/3,重度污染,217,357,167,195,19,75,1.94,29,,1
3,2018/3/4,轻度污染,135,344,61,198,7,37,0.89,38,,1
4,2018/3/5,良,92,345,47,132,8,43,0.93,37,,0
5,2018/3/6,良,65,261,45,65,10,40,0.95,44,,0
6,2018/3/7,良,64,238,44,61,8,48,0.78,34,,0
7,2018/3/8,良,61,212,42,58,5,35,0.73,59,,0
8,2018/3/9,轻度污染,136,344,101,112,12,68,1.3,35,,1
9,2018/3/10,中度污染,165,343,123,136,15,64,1.53,60,,1
10,2018/3/11,良,83,210,60,69,16,47,1.33,51,,0
11,2018/3/12,中度污染,183,343,141,147,11,72,1.7,43,,1
12,2018/3/13,严重污染,289,358,238,9,10,93,2.08,71,,1
13,2018/3/14,严重污染,293,362,242,0,16,80,2.61,54,,1
14,2018/3/15,良,69,189,26,48,3,17,0.46,75,,0
15,2018/3/16,良,57,199,31,63,6,29,0.59,62,,0
16,2018/3/17,良,82,294,58,35,4,60,0.93,18,,0
17,2018/3/18,轻度污染,135,337,102,21,2,54,1.02,41,,1
18,2018/3/19,轻度污染,101,289,73,29,3,45,0.78,51,,1
19,2018/3/20,优,44,92,22,39,3,32,0.48,61,,0
20,2018/3/21,良,78,298,56,79,8,53,0.84,38,,0
21,2018/3/22,轻度污染,114,329,85,103,7,65,0.96,47,,1
22,2018/3/23,轻度污染,146,332,110,137,10,86,1.36,31,,1
23,2018/3/24,轻度污染,117,302,85,84,9,60,1.12,63,,1
24,2018/3/25,良,76,159,53,91,6,56,0.63,70,,0
25,2018/3/26,中度污染,155,348,117,141,11,70,0.99,78,,1
26,2018/3/27,重度污染,245,363,194,195,11,98,1.37,64,,1
27,2018/3/28,严重污染,388,361,154,858,5,52,0.89,56,,1
28,2018/3/29,轻度污染,115,295,44,178,12,45,0.86,51,,1
29,2018/3/30,良,68,139,39,81,7,50,0.59,60,,0
30,2018/3/31,轻度污染,128,320,96,148,12,80,1.05,56,,1
0,2018/4/1,重度污染,221,361,173,209,14,78,1.51,102,,1
1,2018/4/2,严重污染,283,362,229,211,10,61,1.82,104,,1
2,2018/4/3,良,78,182,12,98,2,15,0.28,75,,0
3,2018/4/4,优,34,1,21,20,2,30,0.44,36,,0
4,2018/4/5,良,91,293,48,70,2,28,0.59,33,,0
5,2018/4/5,良,91,293,48,70,2,28,0.59,33,,0
6,2018/4/6,良,78,186,16,89,1,8,0.26,86,,0
7,2018/4/7,良,52,47,15,43,3,18,0.31,86,,0
8,2018/4/8,良,68,117,38,85,5,47,0.56,55,,0
9,2018/4/9,轻度污染,112,323,83,121,20,62,1.36,65,,1
10,2018/4/10,良,96,243,53,118,7,39,0.87,60,,0
11,2018/4/11,优,50,36,17,53,3,33,0.32,66,,0
12,2018/4/12,良,78,240,30,106,8,38,0.61,64,,0
13,2018/4/13,良,64,267,37,59,8,54,1.18,34,,0
14,2018/4/14,轻度污染,122,321,28,171,1,12,0.3,82,,1
15,2018/4/15,良,66,171,22,84,3,27,0.33,74,,0
16,2018/4/16,轻度污染,104,256,68,151,9,48,0.66,80,,1
17,2018/4/17,轻度污染,142,350,97,217,9,40,0.81,100,,1
18,2018/4/18,轻度污染,144,354,107,208,9,45,0.86,93,,1
19,2018/4/19,中度污染,170,361,123,192,8,52,1.01,116,,1
20,2018/4/20,中度污染,173,360,123,157,13,41,1.4,145,,1
21,2018/4/21,轻度污染,102,350,72,49,3,36,1.03,67,,1
22,2018/4/22,优,35,12,9,18,2,18,0.38,67,,0
23,2018/4/23,优,41,67,15,32,2,24,0.41,76,,0
24,2018/4/24,优,45,109,17,36,3,36,0.42,68,,0
25,2018/4/25,良,61,138,30,62,3,43,0.46,81,,0
26,2018/4/26,轻度污染,118,345,88,110,7,49,0.76,94,,1
27,2018/4/27,轻度污染,111,326,41,169,3,39,0.58,87,,1
28,2018/4/28,轻度污染,129,330,86,165,9,53,0.76,112,,1
29,2018/4/29,中度污染,196,355,151,175,7,61,1.07,103,,1
30,2018/4/30,良,62,149,28,69,4,23,0.65,85,,0
0,2018/5/1,轻度污染,125,344,40,176,2,28,0.46,57,,1
1,2018/5/2,优,45,47,15,43,2,22,0.28,70,,0
2,2018/5/3,优,50,59,13,51,2,25,0.26,79,,0
3,2018/5/4,良,87,287,57,108,7,53,0.59,89,,0
4,2018/5/5,中度污染,179,360,78,246,4,45,0.52,70,,1
5,2018/5/6,轻度污染,121,360,59,190,3,40,0.51,82,,1
6,2018/5/7,轻度污染,102,340,55,137,8,34,0.76,115,,1
7,2018/5/8,良,68,220,27,76,4,39,0.49,81,,0
8,2018/5/9,良,86,267,43,96,7,46,0.63,100,,0
9,2018/5/10,轻度污染,122,356,89,138,11,60,1.03,119,,1
10,2018/5/11,轻度污染,105,352,78,107,5,50,0.84,86,,1
11,2018/5/12,中度污染,190,362,139,132,3,43,1.51,80,,1
12,2018/5/13,良,72,175,44,78,5,38,0.58,96,,0
13,2018/5/14,中度污染,168,364,118,150,6,43,1.21,137,,1
14,2018/5/15,良,95,303,67,102,4,39,1.02,101,,0
15,2018/5/16,轻度污染,147,353,111,75,4,36,1.81,93,,1
16,2018/5/17,良,64,226,43,52,2,27,0.95,60,,0
17,2018/5/18,良,60,153,21,47,3,25,0.53,108,,0
18,2018/5/19,良,78,324,36,70,4,41,0.74,100,,0
19,2018/5/20,良,59,256,36,45,2,28,0.77,89,,0
20,2018/5/21,良,82,339,60,25,2,36,1.02,35,,0
21,2018/5/22,轻度污染,105,336,42,133,1,24,0.4,63,,1
22,2018/5/23,轻度污染,142,357,56,231,4,39,0.47,77,,1
23,2018/5/24,轻度污染,107,321,49,129,7,49,0.74,118,,1
24,2018/5/25,轻度污染,111,327,60,126,6,38,0.76,131,,1
25,2018/5/26,轻度污染,140,306,99,167,3,35,0.81,87,,1
26,2018/5/27,良,89,254,42,125,2,31,0.35,83,,0
27,2018/5/28,中度污染,188,359,64,256,2,22,0.24,67,,1
28,2018/5/29,优,46,52,12,38,2,30,0.31,67,,0
29,2018/5/30,良,56,126,12,36,2,32,0.34,94,,0
30,2018/5/31,良,97,302,26,66,5,42,0.56,130,,0
0,2018/6/1,良,91,252,26,66,2,44,0.47,130,,0
1,2018/6/2,轻度污染,120,328,47,101,7,48,0.7,159,,1
2,2018/6/3,良,92,257,53,125,3,37,0.64,105,,0
3,2018/6/4,良,76,240,28,86,2,38,0.42,98,,0
4,2018/6/5,轻度污染,110,327,38,117,6,44,0.55,135,,1
5,2018/6/6,轻度污染,116,328,48,139,8,42,0.69,151,,1
6,2018/6/7,良,71,200,23,58,2,23,0.48,113,,0
7,2018/6/8,良,52,156,13,36,2,30,0.42,87,,0
8,2018/6/9,良,52,174,20,43,2,29,0.53,81,,0
9,2018/6/10,良,60,182,31,32,1,21,0.67,103,,0
10,2018/6/11,良,88,295,63,61,1,29,0.78,106,,0
11,2018/6/12,轻度污染,125,357,84,94,2,43,0.94,111,,1
12,2018/6/13,良,77,260,46,38,2,30,0.88,82,,0
13,2018/6/14,良,66,208,21,38,2,35,0.61,105,,0
14,2018/6/15,轻度污染,130,362,80,46,4,28,1.41,128,,1
15,2018/6/16,轻度污染,111,339,77,69,2,28,0.94,124,,1
16,2018/6/17,良,77,255,45,59,2,27,0.77,121,,0
17,2018/6/18,轻度污染,126,364,80,92,2,33,0.88,116,,1
18,2018/6/19,良,92,343,49,69,3,26,0.91,119,,0
19,2018/6/20,良,79,304,38,50,2,29,0.7,106,,0
20,2018/6/21,良,91,302,25,61,5,33,0.71,133,,0
21,2018/6/22,良,90,309,56,87,6,49,1.05,106,,0
22,2018/6/23,轻度污染,128,358,55,84,3,32,0.8,181,,1
23,2018/6/24,轻度污染,121,347,54,94,3,32,0.75,170,,1
24,2018/6/25,轻度污染,109,363,76,113,4,41,1.02,143,,1
25,2018/6/26,中度污染,183,365,124,44,3,34,1.58,141,,1
26,2018/6/27,良,57,254,25,49,2,32,0.49,73,,0
27,2018/6/28,优,40,130,8,23,3,21,0.3,79,,0
28,2018/6/29,良,71,258,17,56,2,41,0.45,92,,0
29,2018/6/30,轻度污染,108,361,31,74,4,33,0.83,140,,1
0,2018/7/1,良,80,312,46,57,3,24,0.92,115,,0
1,2018/7/2,良,72,302,42,55,2,22,0.76,92,,0
2,2018/7/3,良,85,327,53,54,2,22,0.76,108,,0
3,2018/7/4,轻度污染,112,360,57,78,2,29,0.82,138,,1
4,2018/7/5,轻度污染,126,362,69,107,3,33,1.09,142,,1
5,2018/7/6,良,92,326,33,54,2,23,0.87,142,,0
6,2018/7/7,良,72,326,51,55,2,25,0.84,42,,0
7,2018/7/8,良,81,349,50,29,2,21,0.83,91,,0
8,2018/7/9,轻度污染,103,364,77,44,2,27,0.9,57,,1
9,2018/7/10,优,49,241,32,34,2,20,0.69,63,,0
10,2018/7/11,优,43,161,28,27,2,32,0.61,47,,0
11,2018/7/12,优,44,187,30,25,2,28,0.7,46,,0
12,2018/7/13,良,59,295,41,49,2,36,0.82,55,,0
13,2018/7/14,良,80,353,49,43,2,22,0.72,95,,0
14,2018/7/15,良,99,355,58,54,3,27,0.85,110,,0
15,2018/7/16,优,45,181,26,29,2,25,0.72,58,,0
16,2018/7/17,优,27,30,17,16,2,25,0.66,46,,0
17,2018/7/18,轻度污染,105,362,78,58,2,24,1.22,67,,1
18,2018/7/19,良,91,351,67,63,4,31,0.92,75,,0
19,2018/7/20,轻度污染,114,364,83,57,3,26,1.02,104,,1
20,2018/7/21,轻度污染,107,361,68,81,3,20,0.8,123,,1
21,2018/7/22,良,69,287,42,50,2,24,0.77,71,,0
22,2018/7/23,良,81,342,52,60,2,22,0.88,81,,0
23,2018/7/24,优,27,33,16,22,2,16,0.59,32,,0
24,2018/7/25,优,36,71,9,16,2,16,0.47,71,,0
25,2018/7/26,优,48,165,10,28,2,22,0.49,86,,0
26,2018/7/27,良,68,318,45,56,2,21,1.05,102,,0
27,2018/7/28,良,94,344,53,66,2,19,1.04,128,,0
28,2018/7/29,轻度污染,111,365,71,89,2,26,1.22,126,,1
29,2018/7/30,轻度污染,116,365,71,87,2,26,1.1,126,,1
30,2018/7/31,轻度污染,118,366,61,83,3,28,1.05,135,,1
0,2018/8/1,轻度污染,109,366,55,83,2,25,1.03,148,,1
1,2018/8/2,轻度污染,130,366,83,102,4,23,1.49,139,,1
2,2018/8/3,良,100,349,53,81,2,26,0.97,123,,0
3,2018/8/4,轻度污染,122,359,63,97,9,26,1.24,163,,1
4,2018/8/5,良,67,288,35,58,3,18,0.8,94,,0
5,2018/8/6,良,53,187,36,49,11,30,1.39,51,,0
6,2018/8/7,良,86,339,58,64,2,24,1.24,89,,0
7,2018/8/8,优,41,97,19,22,3,18,0.89,63,,0
8,2018/8/9,良,67,259,24,35,1,25,0.92,98,,0
9,2018/8/10,轻度污染,102,346,30,47,4,24,0.82,140,,1
10,2018/8/11,良,69,227,40,46,2,22,1.03,107,,0
11,2018/8/12,良,74,291,53,39,4,22,1.19,77,,0
12,2018/8/13,良,66,299,46,49,2,22,1.01,103,,0
13,2018/8/14,优,41,169,22,30,3,17,0.74,61,,0
14,2018/8/15,优,37,119,12,27,1,21,0.5,66,,0
15,2018/8/16,良,53,294,12,29,4,20,0.42,100,,0
16,2018/8/17,良,100,359,32,63,2,30,0.63,152,,0
17,2018/8/18,优,46,204,13,23,4,22,0.49,77,,0
18,2018/8/19,优,40,129,20,36,2,27,0.73,51,,0
19,2018/8/20,良,51,213,22,38,4,20,0.7,87,,0
20,2018/8/21,优,44,101,12,32,1,24,0.43,84,,0
21,2018/8/22,优,47,133,17,47,4,39,0.63,43,,0
22,2018/8/23,良,51,132,15,40,2,27,0.58,86,,0
23,2018/8/25,良,90,302,34,74,3,24,0.72,136,,0
24,2018/8/27,轻度污染,114,351,59,83,5,29,1.02,147,,1
25,2018/8/29,优,44,166,6,24,1,19,0.41,91,,0
26,2018/8/31,良,62,303,14,30,2,21,0.51,119,,0
0,2018/9/2,良,58,289,40,33,2,16,0.73,96,,0
1,2018/9/3,优,46,179,16,15,6,14,0.41,59,,0
2,2018/9/4,优,26,38,6,18,1,21,0.34,51,,0
3,2018/9/5,优,37,84,10,30,3,28,0.41,65,,0
4,2018/9/6,优,40,114,7,35,2,17,0.34,55,,0
5,2018/9/7,优,25,20,4,17,2,14,0.3,48,,0
6,2018/9/8,优,29,38,6,22,2,24,0.33,46,,0
7,2018/9/9,良,55,230,22,54,4,38,0.52,61,,0
8,2018/9/10,良,66,292,41,72,5,49,0.89,65,,0
9,2018/9/11,良,71,316,43,72,5,38,0.76,71,,0
10,2018/9/12,良,65,277,42,47,3,36,0.72,88,,0
11,2018/9/13,轻度污染,109,363,79,100,4,47,0.93,91,,1
12,2018/9/14,轻度污染,128,365,97,114,3,48,1.04,86,,1
13,2018/9/15,优,39,122,17,25,1,19,0.38,51,,0
14,2018/9/16,优,30,73,6,24,2,28,0.34,49,,0
15,2018/9/17,优,42,199,11,42,2,44,0.42,30,,0
16,2018/9/18,优,50,250,18,52,2,45,0.53,32,,0
17,2018/9/19,良,53,259,25,58,7,50,0.68,23,,0
18,2018/9/20,良,64,310,41,67,2,46,0.72,57,,0
19,2018/9/21,优,48,183,16,45,2,26,0.36,39,,0
20,2018/9/22,优,27,20,5,26,1,16,0.25,48,,0
21,2018/9/23,优,29,56,5,27,2,19,0.26,39,,0
22,2018/9/24,优,27,45,6,21,2,23,0.31,40,,0
23,2018/9/25,优,47,203,21,48,3,29,0.6,61,,0
24,2018/9/26,良,52,264,32,54,2,38,0.62,49,,0
25,2018/9/27,良,85,347,62,80,4,56,0.89,33,,0
26,2018/9/28,良,76,334,52,22,2,34,0.75,37,,0
27,2018/9/29,优,22,3,6,13,4,21,0.32,37,,0
28,2018/9/30,优,23,9,5,18,2,19,0.3,37,,0
0,2018/10/1,优,31,36,7,19,3,17,0.3,59,,0
1,2018/10/2,优,32,26,10,27,2,31,0.4,45,,0
2,2018/10/3,优,37,41,11,32,3,38,0.44,44,,0
3,2018/10/4,良,67,200,41,70,7,51,0.96,69,,0
4,2018/10/5,轻度污染,105,346,78,94,7,52,1.2,66,,1
5,2018/10/6,优,33,24,9,22,2,17,0.3,54,,0
6,2018/10/7,优,35,38,9,34,2,35,0.34,34,,0
7,2018/10/8,优,39,68,9,34,2,33,0.36,42,,0
8,2018/10/9,优,23,12,3,14,2,12,0.22,43,,0
9,2018/10/10,优,25,23,5,22,2,23,0.3,31,,0
10,2018/10/11,优,32,45,9,29,2,32,0.32,33,,0
11,2018/10/12,良,63,226,33,71,3,54,0.56,33,,0
12,2018/10/13,轻度污染,107,355,80,103,6,69,0.97,44,,1
13,2018/10/14,中度污染,179,366,136,147,4,73,1.22,52,,1
14,2018/10/15,中度污染,200,365,152,122,4,67,1.41,33,,1
15,2018/10/16,良,82,302,60,21,2,34,0.86,45,,0
16,2018/10/17,良,54,197,32,38,2,39,0.65,28,,0
17,2018/10/18,优,49,177,28,48,2,49,0.57,32,,0
18,2018/10/19,良,60,264,41,56,3,54,0.64,40,,0
19,2018/10/20,良,86,327,63,77,4,64,0.82,39,,0
20,2018/10/21,轻度污染,144,355,108,118,6,80,1.27,26,,1
21,2018/10/22,中度污染,168,366,121,86,4,58,1.21,33,,1
22,2018/10/23,优,38,78,13,40,2,31,0.36,34,,0
23,2018/10/24,良,70,225,40,88,3,61,0.77,20,,0
24,2018/10/25,轻度污染,112,332,80,118,7,72,1.37,16,,1
25,2018/10/26,优,45,92,4,46,2,9,0.21,52,,0
26,2018/10/27,优,34,48,9,31,3,24,0.28,42,,0
27,2018/10/28,优,37,66,4,27,2,9,0.2,65,,0
28,2018/10/29,优,24,12,4,18,2,18,0.25,46,,0
29,2018/10/30,优,33,44,10,31,2,36,0.42,32,,0
30,2018/10/31,优,48,88,21,51,4,46,0.73,21,,0
0,2018/11/1,良,70,219,43,71,5,59,0.94,23,,0
1,2018/11/2,中度污染,151,361,113,130,7,92,1.48,17,,1
2,2018/11/3,重度污染,210,365,160,157,7,87,1.68,34,,1
3,2018/11/4,轻度污染,107,342,81,57,2,48,0.85,17,,1
4,2018/11/5,优,29,23,18,26,2,35,0.45,17,,0
5,2018/11/6,优,33,87,14,32,2,38,0.48,19,,0
6,2018/11/7,良,52,246,26,53,3,48,0.69,10,,0
7,2018/11/8,良,91,341,66,98,6,70,1.1,6,,0
8,2018/11/9,良,63,243,34,63,3,40,0.66,32,,0
9,2018/11/10,优,37,44,12,37,2,36,0.38,24,,0
10,2018/11/11,良,70,231,44,78,4,54,0.73,22,,0
11,2018/11/12,轻度污染,126,330,94,117,5,71,1.15,15,,1
12,2018/11/13,重度污染,222,363,175,110,5,78,1.69,15,,1
13,2018/11/14,严重污染,274,367,223,51,4,75,2.24,15,,1
14,2018/11/15,良,92,296,65,17,2,32,0.87,30,,0
15,2018/11/16,优,33,92,12,27,3,27,0.38,37,,0
16,2018/11/17,良,67,311,41,77,6,58,0.79,10,,0
17,2018/11/18,良,67,269,31,78,5,40,0.68,30,,0
18,2018/11/19,良,77,271,43,93,9,62,1.01,10,,0
19,2018/11/20,良,71,239,39,85,7,50,0.83,23,,0
20,2018/11/21,优,44,127,19,47,3,30,0.49,33,,0
21,2018/11/22,良,56,164,26,61,6,47,0.7,18,,0
22,2018/11/23,良,92,286,67,103,12,61,1.38,6,,0
23,2018/11/24,轻度污染,118,289,87,107,9,59,1.18,21,,1
24,2018/11/25,轻度污染,117,248,87,113,7,69,1.3,11,,1
25,2018/11/26,严重污染,252,321,204,233,10,101,2.25,6,,1
26,2018/11/27,中度污染,192,287,56,282,2,30,0.51,40,,1
27,2018/11/28,轻度污染,115,226,54,179,14,65,1.25,7,,1
28,2018/11/29,轻度污染,104,229,56,156,13,63,1.51,8,,1
29,2018/11/30,轻度污染,120,239,87,177,11,80,1.89,7,,1
0,2018/12/1,中度污染,165,284,126,199,9,81,1.92,12,,1
1,2018/12/2,重度污染,233,319,182,242,7,86,2.58,3,,1
2,2018/12/3,中度污染,193,318,66,266,2,21,0.52,45,,1
3,2018/12/4,良,61,197,15,71,2,22,0.36,38,,0
4,2018/12/5,良,75,252,36,98,8,56,1.01,5,,0
5,2018/12/6,优,37,107,9,38,2,15,0.36,46,,0
6,2018/12/7,优,36,132,5,36,2,11,0.32,49,,0
7,2018/12/8,优,38,156,8,35,3,19,0.32,47,,0
8,2018/12/9,良,62,221,38,69,8,55,0.86,13,,0
9,2018/12/10,良,78,244,56,88,11,63,1.1,8,,0
10,2018/12/11,良,53,151,22,55,6,31,0.57,32,,0
11,2018/12/12,良,54,104,27,59,7,52,0.76,17,,0
12,2018/12/13,优,41,52,13,41,4,35,0.48,34,,0
13,2018/12/14,良,71,153,45,73,9,62,0.93,12,,0
14,2018/12/15,轻度污染,118,289,88,115,13,82,1.51,6,,1
15,2018/12/16,轻度污染,101,220,66,108,7,58,1.27,29,,1
16,2018/12/17,良,53,82,26,57,5,44,0.62,36,,0
17,2018/12/18,良,52,68,26,56,5,48,0.74,26,,0
18,2018/12/19,良,60,89,31,69,7,58,0.94,12,,0
19,2018/12/20,良,81,187,53,93,9,71,1.17,5,,0
20,2018/12/21,良,89,240,60,109,11,58,1.24,25,,0
21,2018/12/28,优,41,124,8,41,4,15,0.36,42,,0
22,2018/12/29,优,28,33,9,27,4,24,0.43,38,,0
23,2018/12/30,优,31,25,13,30,4,34,0.49,27,,0
24,2018/12/31,良,56,159,36,60,8,53,0.91,10,,0
0,2019/1/1,良,53,128,35,52,8,42,0.82,22,,0
1,2019/1/2,良,65,147,45,61,10,50,0.94,19,,0
2,2019/1/3,中度污染,163,292,123,137,20,79,1.85,6,,1
3,2019/1/4,优,49,106,22,44,5,27,0.54,46,,0
4,2019/1/5,优,31,42,13,30,7,33,0.51,35,,0
5,2019/1/6,良,85,196,60,91,11,67,1.2,8,,0
6,2019/1/7,良,57,114,34,56,8,42,0.8,30,,0
7,2019/1/8,优,31,50,9,27,3,24,0.39,45,,0
8,2019/1/9,良,59,176,37,63,10,55,0.83,15,,0
9,2019/1/10,轻度污染,104,267,77,112,13,76,1.47,7,,1
10,2019/1/11,轻度污染,136,266,103,129,15,78,1.71,9,,1
11,2019/1/12,重度污染,241,333,199,215,13,97,2.47,7,,1
12,2019/1/13,中度污染,159,272,130,139,5,60,1.56,28,,1
13,2019/1/14,中度污染,154,255,106,142,7,71,1.57,19,,1
14,2019/1/15,良,54,124,7,60,3,15,0.36,49,,0
15,2019/1/16,良,60,160,35,68,9,54,0.81,17,,0
16,2019/1/17,良,66,135,42,74,12,58,1.01,15,,0
17,2019/1/18,良,86,190,63,105,14,72,1.39,10,,0
18,2019/1/19,优,34,22,11,33,5,23,0.4,45,,0
19,2019/1/20,优,34,23,9,31,2,19,0.34,54,,0
20,2019/1/21,良,53,97,22,59,6,41,0.57,35,,0
21,2019/1/22,良,60,78,26,69,6,48,0.76,28,,0
22,2019/1/23,优,47,47,22,51,5,44,0.66,31,,0
23,2019/1/24,良,80,139,58,75,10,50,1.15,22,,0
24,2019/1/25,优,35,18,11,34,3,20,0.41,48,,0
25,2019/1/26,优,35,11,21,35,4,31,0.55,37,,0
26,2019/1/27,良,90,224,50,102,9,44,0.88,29,,0
27,2019/1/28,良,52,70,29,54,5,29,0.55,46,,0
28,2019/1/29,轻度污染,135,290,102,134,15,71,1.42,13,,1
29,2019/1/30,良,74,162,31,79,5,24,0.6,48,,0
30,2019/1/31,优,33,15,11,22,4,16,0.43,49,,0
0,2019/2/1,良,67,152,40,81,6,45,0.89,27,,0
1,2019/2/2,轻度污染,138,333,103,134,7,53,1.39,17,,1
2,2019/2/3,轻度污染,115,271,43,159,2,14,0.45,57,,1
3,2019/2/4,良,77,172,41,99,5,24,0.8,43,,0
4,2019/2/5,中度污染,153,253,97,221,9,25,0.88,35,,1
5,2019/2/6,良,83,196,55,110,13,22,1.12,39,,0
6,2019/2/7,优,35,50,7,28,2,8,0.32,61,,0
7,2019/2/8,优,43,181,24,44,5,18,0.45,52,,0
8,2019/2/9,优,31,56,8,19,3,11,0.33,56,,0
9,2019/2/10,优,39,116,24,34,5,21,0.5,41,,0
10,2019/2/11,良,55,163,36,51,7,28,0.72,39,,0
11,2019/2/12,优,49,132,28,51,6,23,0.75,39,,0
12,2019/2/13,优,39,77,21,31,2,21,0.54,44,,0
13,2019/2/14,良,70,237,50,45,4,30,0.9,31,,0
14,2019/2/15,优,35,83,10,18,2,9,0.32,61,,0
15,2019/2/16,优,32,56,7,18,2,11,0.33,63,,0
16,2019/2/17,优,33,60,12,21,3,21,0.41,55,,0
17,2019/2/18,优,42,139,28,38,6,44,0.69,32,,0
18,2019/2/19,轻度污染,115,273,86,44,4,36,0.96,42,,1
19,2019/2/20,良,58,118,38,38,4,28,0.58,59,,0
20,2019/2/21,轻度污染,120,257,90,64,5,49,1.1,45,,1
21,2019/2/22,轻度污染,131,283,100,55,5,57,1.28,32,,1
22,2019/2/23,中度污染,168,310,128,36,8,63,1.55,47,,1
23,2019/2/24,轻度污染,110,243,80,14,4,46,0.96,48,,1
24,2019/2/25,良,70,178,49,63,8,46,0.94,39,,0
25,2019/2/26,良,71,177,50,77,9,56,0.91,27,,0
26,2019/2/27,轻度污染,118,284,89,99,7,57,1.06,43,,1
27,2019/2/28,轻度污染,106,270,75,104,6,51,0.9,50,,1
0,2019/3/1,轻度污染,150,313,114,131,8,58,1.12,57,,1
1,2019/3/2,重度污染,235,358,185,122,8,66,1.41,71,,1
2,2019/3/3,重度污染,212,353,161,132,9,60,1.35,67,,1
3,2019/3/4,轻度污染,141,309,106,69,5,51,1.04,59,,1
4,2019/3/5,轻度污染,126,287,85,81,4,42,0.91,54,,1
5,2019/3/6,优,37,73,7,19,1,14,0.29,71,,0
6,2019/3/7,优,37,69,17,36,3,34,0.45,52,,0
7,2019/3/8,良,81,287,56,100,8,55,0.74,44,,0
8,2019/3/9,轻度污染,111,346,83,121,8,60,0.82,39,,1
9,2019/3/10,轻度污染,144,354,109,66,4,52,0.97,41,,1
10,2019/3/11,良,51,85,24,24,2,24,0.46,53,,0
11,2019/3/12,优,36,8,4,25,1,9,0.25,69,,0
12,2019/3/13,优,34,5,7,29,1,20,0.3,58,,0
13,2019/3/14,优,39,23,6,38,2,21,0.3,58,,0
14,2019/3/15,优,50,108,9,48,1,14,0.25,70,,0
15,2019/3/16,良,56,122,22,63,3,36,0.49,42,,0
16,2019/3/17,良,75,239,46,94,6,48,0.67,53,,0
17,2019/3/18,轻度污染,130,354,98,140,9,69,0.84,57,,1
18,2019/3/19,中度污染,168,356,126,170,8,74,0.98,70,,1
19,2019/3/20,良,93,303,65,100,5,38,0.66,62,,0
20,2019/3/21,优,38,31,5,25,1,8,0.26,70,,0
21,2019/3/22,优,35,40,7,30,1,17,0.25,59,,0
22,2019/3/23,优,41,119,10,31,2,11,0.26,72,,0
23,2019/3/24,良,68,222,34,83,5,40,0.43,45,,0
24,2019/3/25,良,54,131,22,61,2,37,0.45,54,,0
25,2019/3/26,良,84,275,43,115,9,42,0.76,55,,0
26,2019/3/27,轻度污染,103,321,66,133,6,51,0.96,47,,1
27,2019/3/28,良,59,175,24,67,6,27,0.55,53,,0
28,2019/3/29,良,73,240,22,92,3,30,0.41,47,,0
29,2019/3/30,优,36,9,4,24,1,7,0.24,70,,0
30,2019/3/31,优,33,8,8,29,1,23,0.32,54,,0
0,2019/4/1,优,39,40,11,37,1,27,0.34,58,,0
1,2019/4/2,良,57,186,27,65,5,37,0.57,51,,0
2,2019/4/3,良,80,289,56,86,7,47,0.69,72,,0
3,2019/4/4,轻度污染,106,305,70,124,6,52,0.65,74,,1
4,2019/4/5,重度污染,210,354,38,282,3,22,0.32,66,,1
5,2019/4/6,轻度污染,137,343,39,222,5,33,0.53,57,,1
6,2019/4/7,良,76,233,39,101,7,38,0.59,64,,0
7,2019/4/8,良,62,167,31,74,11,34,0.88,55,,0
8,2019/4/9,优,38,34,22,30,2,20,0.48,57,,0
9,2019/4/10,优,44,110,24,29,2,25,0.38,62,,0
10,2019/4/11,良,64,272,45,63,1,36,0.43,63,,0
11,2019/4/12,良,82,279,59,81,3,38,0.52,66,,0
12,2019/4/13,轻度污染,118,336,82,95,3,36,0.57,63,,1
13,2019/4/14,良,56,177,16,62,1,22,0.28,77,,0
14,2019/4/15,良,76,303,43,95,5,40,0.45,65,,0
15,2019/4/16,良,98,337,68,107,6,34,0.54,100,,0
16,2019/4/17,轻度污染,141,348,106,134,8,51,0.97,103,,1
17,2019/4/18,轻度污染,124,338,40,162,2,19,0.4,84,,1
18,2019/4/19,良,62,177,20,72,2,25,0.4,68,,0
19,2019/4/20,良,56,151,36,49,1,39,0.5,30,,0
20,2019/4/21,轻度污染,112,340,59,163,4,40,0.8,55,,1
21,2019/4/22,轻度污染,127,349,92,136,3,41,0.88,100,,1
22,2019/4/23,轻度污染,127,356,95,100,1,28,0.72,68,,1
